Pond name,Area,Vizita1,Vizita2,Vizita3,Vizita4,Data1,Data2,Data3,Data4,Julian1,Julian2,Julian3,Julian4,Wind1,Wind2,Wind3,Wind4,Temp.apa,Dissolved.oxigen,Beaver.sign,DistMFsampling,DistMFbreed,JulyTemp
26 N 1,1099.7,0,0,0,0,7/1/2011,7/14/2011,7/30/2011,8/13/2011,181,194,210,224,1,0,1,0,22.42,1.54,fresh,2342,380,18.1
30 N 1,628.4,0,0,0,0,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,0,0,18.35,1.03,none,552,552,18.4
9N 1,377.04,0,0,0,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,2,0,2,1,20.3,5.32,fresh,1598,1598,18.5
9N 2,4713,0,0,0,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,1,1,18.6,5.4,fresh,1598,1598,17.9
Bloomingdale,15710,0,0,0,0,7/3/2011,7/16/2011,8/1/2011,8/15/2011,183,196,212,226,0,0,0,0,19.44,1.76,none,4238,378,18.3
Bone Pond,175549.824,0,1,0,1,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,1,0,0,0,22.5,5.46,fresh,658,140,17.9
Brandy Pond,50422.816,1,1,0,0,7/2/2011,7/16/2011,7/30/2011,8/14/2011,182,196,210,225,0,0,0,0,20.6,0.52,old,2116,272,18
Chapel Pond,227072.34,0,0,0,0,7/6/2011,7/19/2011,8/2/2011,8/17/2011,186,199,213,228,0,0,2,1,20.5,6.62,none,606,45,17.9
Cold Brook 1,1256.8,0,0,0,0,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,0,0,13.85,2.24,old,1202,489,18.2
Cooler Pond,88227.36,0,0,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,0,0,0,1,21.23,1.52,none,556,70,18
Etown 2,36949.92,0,0,0,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,1,1,20.4,5.09,none,8522,1467,20.2
Fish Hatch 2,27649.6,0,1,0,0,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,3,0,0,0,22.09,0.81,old,206,206,18
Fish Hatch 3,35127.56,0,1,0,0,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,3,0,0,0,23.01,0.89,none,206,206,17.9
Floodwood 1,5027.2,0,0,0,0,7/1/2011,7/16/2011,7/30/2011,8/15/2011,181,196,210,226,0,0,0,0,21.3,0.43,none,111,111,18
Giants Washbowl,63876.86,0,0,0,0,7/6/2011,7/19/2011,8/3/2011,8/17/2011,186,199,214,228,0,2,0,1,20.4,5.11,fresh,606,606,16.5
Gordon Pond,65510.7,0,0,0,0,7/1/2011,7/16/2011,7/30/2011,8/15/2011,181,196,210,226,0,0,0,0,23.7,4.18,fresh,111,111,18
Hedgehog Pond,74144.916,0,0,0,0,7/6/2011,7/19/2011,8/2/2011,8/16/2011,186,199,213,227,0,0,0,0,22.67,0.77,none,226,226,17.7
Jenkins 1,23565,0,1,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,0,0,0,0,20.96,2.14,fresh,532,532,17.9
Keese Mill 1,1885.2,0,0,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,0,0,0,0,15.8,2.73,none,496,114,18.1
KV 1,3770.4,0,0,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,1,1,20.1,5.91,fresh,4964,836,19.3
KV 2,6284,0,0,1,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,1,1,18.9,1.88,fresh,5,5,19.3
KV 3,3142,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,1,19.8,3.72,fresh,5,5,19.3
KV 4,9426,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,1,19.4,0.41,none,5,5,19.3
Little Echo,30163.2,0,0,0,0,7/2/2011,7/16/2011,7/30/2011,8/14/2011,182,196,210,225,0,0,0,0,15.3,0.57,none,92,92,18.1
Little Hedgehog,9897.3,0,0,0,0,7/6/2011,7/19/2011,8/2/2011,8/16/2011,186,199,213,227,0,0,0,0,21.95,1.05,none,226,226,17.7
Little Hope,8122.07,0,1,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,0,0,0,0,23.9,5.48,none,40,40,18.1
Little Jones,7540.8,0,0,0,0,7/1/2011,7/14/2011,7/30/2011,8/13/2011,181,194,210,224,0,0,0,0,22.1,2.16,none,2275,830,17.9
Little Kushaqu,1885.2,0,0,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,0,0,1,0,20,3.98,none,606,10,18
Little Long Pond,25136,1,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,0,0,0,0,20.96,2.02,none,532,532,17.9
Little Minnow,3770.4,1,1,1,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,20.77,1.51,none,53,53,17.2
Little Mountain Pond,2513.6,0,0,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,1,0,0,0,18.91,1.44,old,2677,119,17.9
Little Mud,15395.8,0,0,0,0,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,2,0,23.6,3.66,old,606,138,18.1
Little Osgood,26392.8,0,0,0,0,7/1/2011,7/14/2011,7/30/2011,8/13/2011,181,194,210,224,0,0,0,0,23.9,3.29,none,950,43,18
Little Panther,141547.1,1,1,1,0,7/2/2011,7/15/2011,7/30/2011,8/14/2011,182,195,210,225,0,0,0,2,20.3,0.47,none,1208,378,18
Little Rainbow,159456.5,1,1,1,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,3,0,0,0,21.83,1.32,none,12,12,17.9
Little Sunday,4713,0,0,0,0,7/1/2011,7/16/2011,7/30/2011,8/15/2011,181,196,210,226,0,0,0,0,16.4,4.4,none,260,114,18
Meachum 1,942.6,0,0,0,1,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,0,0,15.2,1.23,fresh,552,552,18.4
Meachum 2,37704,1,1,1,1,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,1,0,1,0,22.15,1.06,none,1855,58,18.3
Mineville 1,14139,1,1,1,0,7/2/2011,7/17/2011,8/1/2011,8/16/2011,182,197,212,227,0,0,0,0,18.8,2.21,none,1103,102,19
Mineville 2,3142,1,1,1,0,7/3/2011,7/16/2011,8/1/2011,8/15/2011,183,196,212,226,1,0,0,0,17.2,5.55,fresh,2448,1022,18.8
Minnow Pond,98633.664,1,1,1,1,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,20.86,1.33,fresh,53,53,17.2
New MF 1,5655.6,0,0,0,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,3,0,0,0,19.2,1.26,none,658,66,18
New MF 2,40846,0,1,1,1,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,3,0,0,0,23.5,0.75,none,257,257,18
Newport Pond,75219.48,0,0,0,0,7/2/2011,7/17/2011,8/1/2011,8/15/2011,182,197,212,226,3,0,0,0,20.9,8.47,none,1103,244,19
Onchiota 1,942.6,0,1,1,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,1,0,0,0,17.3,6.62,old,2784,662,18.1
Oxbow 1,1508.16,1,1,0,0,7/1/2011,7/15/2011,7/30/2011,8/14/2011,181,195,210,225,0,0,0,0,22.88,1.25,none,219,219,19.3
Panther Pond,152198.48,1,1,1,1,7/2/2011,7/15/2011,7/31/2011,8/14/2011,182,195,211,225,0,0,0,1,23.6,6.17,none,1208,1208,17.8
Raybrook,5655.6,1,1,1,0,7/2/2011,7/16/2011,8/1/2011,8/15/2011,182,196,212,226,0,0,0,0,12.85,2.7,none,5,5,18.1
Roe Pond,12725.1,0,0,0,0,7/3/2011,7/16/2011,8/2/2011,8/15/2011,183,196,213,226,3,2,1,0,17.7,7.45,none,2695,1065,19
Smitty Creek 1,2513.6,0,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,1,0,0,0,18.3,5.47,old,5,5,17.9
Smitty Creek 2,12568,0,1,1,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,1,0,0,1,19.6,2.91,old,5,5,17.9
Smitty Creek 3,3142,0,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,2,0,0,1,19.1,3.79,fresh,5,5,17.9
Smitty Creek 4,1256.8,0,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,1,0,0,0,17.6,1.97,fresh,5,5,17.9
South Minnow,16338.4,1,1,1,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,21.55,1.65,fresh,720,498,17.2
St Regis 1,9426,0,0,0,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,1,0,0,0,19.1,2.1,fresh,1148,1148,17.9
Tiny Hope,10997,0,1,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,0,0,0,0,21.6,2.22,none,40,40,18.1
Tupper 1,17595.2,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,0,22.2,1.42,none,641,111,17.9
Turtle Pond,114525.9,0,0,0,0,7/2/2011,7/16/2011,8/1/2011,8/16/2011,182,196,212,227,0,0,0,0,22.16,1.22,none,1641,516,18
unk 1,30772.748,0,1,1,1,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,2,0,0,0,19.97,1.8,none,556,158,18
unk 4,6284,0,1,1,0,6/28/2011,7/13/2011,7/27/2011,8/11/2011,178,193,207,222,2,0,0,0,16.8,2.58,none,632,11,17.9
unk 5,66359.04,0,1,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,1,0,0,2,20.8,4.18,fresh,632,153,17.9
unk 6,9426,0,0,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,0,0,0,3,21.4,5.16,none,808,108,18.1
unk 7,143429.158,1,0,1,1,6/30/2011,7/14/2011,7/28/2011,8/12/2011,180,194,208,223,1,0,0,0,21.9,4.75,fresh,930,283,17.9
unk 9,18789.16,1,0,1,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,3,0,0,0,21.24,1.13,none,12,12,17.9
Upper Cat,146530.312,1,1,1,1,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,22.55,1.44,none,130,130,17.1
Upper Tupper,101700.256,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,0,16.06,0.7,none,641,52,17.9
